iteration,sample,radius,GaNzSpan,SapSpan,theta,power_output,status
10,5,1.3988041700573464e-06,1.6843379087229811e-06,2.9383499900632117e-06,46.89622667808209,9.000930351680686e-13,success
10,6,1.633623834097302e-06,1.8706924608362819e-06,3.0831426946032296e-06,40.42952897054537,1.4514923538263881e-12,success
10,7,1.6481501386592736e-06,1.512590860530112e-06,3.0612089005634464e-06,39.799579037982284,1.0316439382852447e-12,success
10,8,1.5492444676801867e-06,1.4221530072386772e-06,3.0913938028789093e-06,42.40272915697342,8.78769600132591e-13,success
10,9,1.798301734072834e-06,1.3728291116266052e-06,2.8126650477890228e-06,29.767211113971204,1.914538752137694e-12,success
10,10,1.458855378775703e-06,1.4496545127331676e-06,2.804782648797323e-06,40.37526968939564,8.352438064388474e-13,success
11,1,1.4770545731753137e-06,1.5467068314953534e-06,3.1818904457574816e-06,42.93830618247788,1.2739843226699688e-12,success
11,2,1.3326608871809428e-06,1.473769452219813e-06,3.600021207230161e-06,38.60344666446883,4.529873768568891e-13,success
11,3,1.5408245617635917e-06,1.631088145307142e-06,3.1004227609047747e-06,33.53658487321955,3.333937101019585e-12,success
11,4,1.6216146916927812e-06,1.4699337381345024e-06,3.1971978285459346e-06,42.56376819204895,3.2185671373603157e-13,success
11,5,1.383303752877518e-06,1.6523946334731464e-06,2.6295947469647345e-06,44.809195159638506,3.1534216140997334e-13,success
11,6,1.456542484176497e-06,1.9143801732198387e-06,3.5120454712965207e-06,41.62635614881302,1.742600249338933e-12,success
11,7,1.6649960529854695e-06,1.3932351016104994e-06,3.051732974161934e-06,37.244428922019125,1.6368109953877576e-12,success
11,8,1.5586916165879201e-06,1.6413140444875178e-06,3.635211216732325e-06,43.63826281256941,2.4110004303943044e-12,success
11,9,1.648089343618146e-06,1.7109573142502772e-06,3.070880088247443e-06,43.698824474598204,6.778124151303126e-13,success
11,10,1.4528226223248882e-06,1.566778394187985e-06,2.94849957031256e-06,38.285900373704514,4.345640417819337e-12,success
12,1,1.6118626338208656e-06,1.406569279223364e-06,3.729749093254868e-06,37.860018684515225,1.7177383542615341e-12,success
12,2,1.5122838378840687e-06,1.470439917271571e-06,3.439834344556704e-06,44.80054796926355,7.739509230896168e-13,success
12,3,1.592596750255668e-06,1.6474016090102266e-06,2.640916597052242e-06,43.81590615752039,1.8494432043484408e-13,success
12,4,1.4908128930970681e-06,1.5741849201910803e-06,3.510640658103376e-06,39.17141693814657,9.083715085238663e-12,success
12,5,1.5906376902272634e-06,1.4244909819828643e-06,2.406857706345378e-06,46.18915543999989,2.566934537324253e-13,success
12,6,1.7506991398504028e-06,1.6275667725289317e-06,3.3393747419345665e-06,39.88120669782058,7.028616337470034e-13,success
12,7,1.8429964634111065e-06,1.4310247565682672e-06,2.9550110639576128e-06,29.127312377396898,2.7989864791457234e-12,success
12,8,1.2468686010154368e-06,1.48639507471422e-06,3.533061953272191e-06,35.565120184478964,2.310718346200657e-12,success
12,9,1.354919578061938e-06,1.6322897680731586e-06,3.0945727644395824e-06,37.639045903221906,7.295357013896392e-13,success
12,10,1.3841890123476466e-06,1.2338607705641089e-06,3.1347905513216258e-06,36.483956344924565,1.1090780805153686e-12,success
13,1,1.6133152460585295e-06,1.7636002969491614e-06,3.2110550017978116e-06,39.52096788745665,6.616686931659723e-13,success
13,2,1.4061153913774375e-06,1.5202572943591716e-06,2.7747824071010137e-06,34.89163439913941,4.684596500215134e-13,success
13,3,1.6608169083912665e-06,1.5524689682397072e-06,2.8747540458594103e-06,40.52404696112376,5.879570608497215e-13,success
13,4,1.3687620968647534e-06,1.4011414111503494e-06,3.039165871417686e-06,37.05609187889557,2.4394456246380037e-13,success
13,5,1.6381558794445307e-06,1.655031420782302e-06,2.8734983332599128e-06,36.63240394253004,3.53797259177612e-12,success
13,6,1.5784952293194152e-06,1.677631577912235e-06,2.44126221302197e-06,44.01312736928616,1.4386712102563783e-13,success
13,7,1.3617014825392217e-06,1.8152862210242996e-06,2.9627425698596704e-06,41.892401841152605,8.860255732924449e-13,success
13,8,1.481327405500047e-06,1.709422834305822e-06,2.9191818731062884e-06,39.32120847160853,1.1035177456373786e-12,success
13,9,1.6455978800391256e-06,1.38550583435234e-06,3.0127323494466696e-06,42.666052946263974,4.375479031130721e-13,success
13,10,1.5736258201808669e-06,1.310802267120574e-06,3.3435747847145626e-06,36.69937800126776,1.891711967009126e-12,success
