iteration,sample,x1,x2,x3,y1,y2,y3,power_output,status
3,10,-1.2081991514766413e-07,5.672528780141781e-07,-9.679999999999999e-07,-6.453405027648667e-07,1.6582568569290192e-07,5.365572985498726e-09,8.17242166516819e-14,success
4,1,-5.548779062009198e-07,9.151261157461218e-07,-7.908339774941243e-07,-6.681746356881059e-07,6.656154886840223e-07,6.649520091543329e-07,1.3399023090234814e-13,success
4,2,-2.064870852093159e-07,9.038030294490783e-07,-9.679999999999999e-07,-4.035680992412117e-07,1.1140806689554241e-07,-8.35754876146817e-08,3.5061036599107344e-14,success
4,3,2.443008730401849e-07,9.679999999999999e-07,-8.318904232738353e-07,-3.9835446980624876e-07,9.679999999999999e-07,6.836023183909451e-07,1.1830385306824623e-13,success
4,4,-3.141485920544168e-07,9.054662873634938e-07,-8.367556986199697e-07,-9.679999999999999e-07,8.769810669026207e-07,6.57775182643058e-07,2.30109262963702e-13,success
4,5,1.0573522939427714e-07,8.585388405763128e-07,-9.679999999999999e-07,-2.4298253848602885e-07,9.679999999999999e-07,7.13871032080173e-07,7.555922568695414e-14,success
4,6,1.8818897547978395e-07,8.847610801572501e-07,-1.1794593897925358e-07,-6.818608980887366e-07,7.817126559483036e-07,8.540660693173365e-07,8.443441608916669e-14,success
4,7,4.84970802638202e-07,9.679999999999999e-07,-7.606829741905788e-07,-4.1783878469944706e-07,5.472418940024225e-07,1.0638448491253029e-07,1.7278264468794596e-13,success
4,8,-2.6135396853774314e-07,9.394591597197686e-07,-7.642932091841336e-07,-9.210084398638532e-07,7.063962934922994e-07,5.236379553380499e-07,1.8022977963526335e-13,success
4,9,-4.319493691302456e-07,7.258074216373885e-07,-6.316414513459849e-07,-3.0052408638093056e-07,9.510848158989329e-07,1.3309469382922415e-07,0.0,invalid_triangle_side
4,10,-2.780248500332637e-07,3.8937382583402205e-07,-9.679999999999999e-07,-5.045885207617598e-07,-2.387192312851614e-07,-2.2364998675649743e-07,1.798784664129017e-14,success
5,1,-2.760248047509757e-07,7.325970492009398e-07,-5.837936484206646e-07,-9.679999999999999e-07,9.679999999999999e-07,5.947045019307278e-07,1.7818870309461854e-13,success
5,2,-9.679999999999999e-07,5.434629582727445e-07,-7.947048032345542e-08,-7.154424999221647e-07,4.2674720844470735e-07,3.789975214773402e-08,2.1900607402189854e-14,success
5,3,-7.767798847909909e-08,3.8532353131507107e-07,-6.476326846423296e-07,-3.6261793605432666e-07,6.943992153288146e-07,4.915015200488292e-07,2.463156591505183e-13,success
5,4,5.299612361252113e-07,9.679999999999999e-07,-5.294188244201772e-07,-8.456897797118806e-07,4.999616562168651e-07,9.679999999999999e-07,1.5524685145239867e-13,success
5,5,1.3053372065913342e-07,7.116216218142178e-07,2.990936394143392e-08,-4.026034141994664e-07,3.812481930791196e-07,9.420521849674085e-07,1.5174148076798644e-13,success
5,6,4.0513354289031047e-07,6.493082925742771e-07,-9.679999999999999e-07,-6.933292837173027e-07,8.596703836549083e-07,6.918781439151188e-07,8.644989300516168e-14,success
5,7,-6.963852774894732e-07,4.753850437462792e-07,-3.803926064090309e-07,-3.6286330005794003e-07,9.679999999999999e-07,8.43573780738063e-07,4.7166785115031326e-14,success
5,8,6.510679779816238e-07,9.679999999999999e-07,-6.71548567977332e-07,-9.679999999999999e-07,7.284122721532865e-07,8.283995477604344e-07,5.644284557461677e-13,success
5,9,4.386199831521422e-07,9.679999999999999e-07,-6.685611270051535e-07,-1.3098532752465774e-07,6.2273106437769e-07,6.185990766845198e-07,1.0391952197334455e-13,success
5,10,4.803186537474153e-07,1.873990002530805e-07,-9.679999999999999e-07,-7.453002668045458e-07,4.913910715649447e-07,8.78706637622515e-07,1.5735244531333165e-13,success
6,1,1.5189116927489244e-07,6.576827624133114e-07,-9.679999999999999e-07,-2.3648803103811593e-07,8.892784702963732e-07,1.5539811006673355e-07,7.079501788985621e-14,success
6,2,8.696711206177571e-08,8.437294938680019e-07,-9.679999999999999e-07,-9.679999999999999e-07,4.0803645947798256e-07,5.617278091906356e-07,2.1797729202051528e-13,success
6,3,8.582940500730842e-08,9.679999999999999e-07,-9.524298637619838e-07,-3.212966196248984e-07,-2.996726278765638e-07,8.729453170648804e-07,4.9736308595609945e-14,success
6,4,1.4623004761479165e-08,4.6918343096006317e-07,-7.747740221798063e-07,-8.585678427760935e-07,5.954613940702195e-07,5.54196049800742e-07,8.53319623742929e-14,success
6,5,1.0165285945710855e-07,9.679999999999999e-07,-9.679999999999999e-07,1.4615346461546784e-08,8.973263388398825e-07,3.537643197842156e-07,3.3690390778610206e-14,success
6,6,3.427982190779138e-07,4.378717558821501e-07,-7.470519698590696e-07,-9.078453058612891e-07,6.341632524787636e-07,5.383659007406568e-07,1.6054695011947384e-13,success
6,7,1.1069571254104051e-07,7.804714755009603e-07,-9.679999999999999e-07,-7.937289797914799e-07,7.449489369693308e-07,8.060471567758886e-07,1.9089330759281362e-13,success
6,8,1.234283274961979e-07,9.679999999999999e-07,-5.493359085429627e-07,-4.6777830885387737e-07,5.97134811379627e-07,8.54539038324498e-07,2.1016859580569397e-13,success
6,9,-4.245148826896471e-08,9.679999999999999e-07,-9.679999999999999e-07,-9.679999999999999e-07,6.512844534837404e-07,-6.047204522236067e-07,8.454567209079062e-14,success
6,10,9.679999999999999e-07,9.679999999999999e-07,-6.831838818069483e-07,-9.679999999999999e-07,8.848234838362743e-07,7.412339508573671e-07,1.5643548923393556e-13,success
7,1,-6.305562319841926e-08,9.679999999999999e-07,-9.679999999999999e-07,-5.939099955837791e-07,8.635965344604329e-07,7.544390683802502e-07,6.65862311993161e-14,success
7,2,-3.2792888806119034e-07,7.090507485584359e-08,-9.679999999999999e-07,-7.117661440409122e-07,6.241592220265583e-07,4.042567595874073e-07,9.27330418356519e-14,success
7,3,3.300340418989006e-07,5.529463669509934e-07,-3.767308604077773e-07,-4.7038989977401074e-07,1.2804987437276158e-07,7.571432192987549e-07,1.177372676147843e-13,success
7,4,-4.01408916887464e-07,3.254032416521852e-07,-6.087302906946899e-07,-7.087074104204798e-07,7.786127732712726e-07,9.679999999999999e-07,5.087039553070551e-14,success
7,5,1.4301691958627016e-07,9.679999999999999e-07,-1.2930961862449243e-07,-8.640775452319252e-07,3.230816724359453e-07,5.885406123902997e-07,0.0,failed: 'Failed to evaluate code'
